city_name,date,rain_sum (mm)
Anuradhapura,6/17/2010,0.7
Anuradhapura,6/18/2010,1.8
Anuradhapura,6/19/2010,0.3
Anuradhapura,6/20/2010,2.8
Anuradhapura,6/21/2010,7.6
Anuradhapura,6/22/2010,0.2
Anuradhapura,6/23/2010,1.2
Anuradhapura,6/24/2010,0.0
Anuradhapura,6/25/2010,0.1
Anuradhapura,6/26/2010,0.2
Anuradhapura,6/27/2010,0.5
Anuradhapura,6/28/2010,1.0
Anuradhapura,6/29/2010,0.7
Anuradhapura,6/30/2010,0.8
Anuradhapura,7/1/2010,1.8
Anuradhapura,7/2/2010,1.7
Anuradhapura,7/3/2010,1.1
Anuradhapura,7/4/2010,1.1
Anuradhapura,7/5/2010,1.0
Anuradhapura,7/6/2010,0.7
Anuradhapura,7/7/2010,4.7
Anuradhapura,7/8/2010,5.0
Anuradhapura,7/9/2010,7.5
Anuradhapura,7/10/2010,5.8
Anuradhapura,7/11/2010,0.8
Anuradhapura,7/12/2010,0.8
Anuradhapura,7/13/2010,0.5
Anuradhapura,7/14/2010,3.2
Anuradhapura,7/15/2010,0.5
Anuradhapura,7/16/2010,2.8
Anuradhapura,7/17/2010,2.9
Anuradhapura,7/18/2010,0.0
Anuradhapura,7/19/2010,0.7
Anuradhapura,7/20/2010,0.6
Anuradhapura,7/21/2010,0.2
Anuradhapura,7/22/2010,2.1
Anuradhapura,7/23/2010,0.7
Anuradhapura,7/24/2010,0.0
Anuradhapura,7/25/2010,0.0
Anuradhapura,7/26/2010,0.2
Anuradhapura,7/27/2010,0.9
Anuradhapura,7/28/2010,0.7
Anuradhapura,7/29/2010,0.5
Anuradhapura,7/30/2010,0.5
Anuradhapura,7/31/2010,0.0
Anuradhapura,8/1/2010,0.3
Anuradhapura,8/2/2010,0.0
Anuradhapura,8/3/2010,0.6
Anuradhapura,8/4/2010,0.4
Anuradhapura,8/5/2010,0.4
Anuradhapura,8/6/2010,0.0
Anuradhapura,8/7/2010,0.3
Anuradhapura,8/8/2010,1.9
Anuradhapura,8/9/2010,8.9
Anuradhapura,8/10/2010,2.4
Anuradhapura,8/11/2010,1.1
Anuradhapura,8/12/2010,0.7
Anuradhapura,8/13/2010,1.2
Anuradhapura,8/14/2010,4.0
Anuradhapura,8/15/2010,1.9
Anuradhapura,8/16/2010,0.6
Anuradhapura,8/17/2010,1.7
Anuradhapura,8/18/2010,0.7
Anuradhapura,8/19/2010,5.3
Anuradhapura,8/20/2010,7.9
Anuradhapura,8/21/2010,30.5
Anuradhapura,8/22/2010,0.6
Anuradhapura,8/23/2010,0.0
Anuradhapura,8/24/2010,1.8
Anuradhapura,8/25/2010,0.7
Anuradhapura,8/26/2010,0.4
Anuradhapura,8/27/2010,0.0
Anuradhapura,8/28/2010,0.2
Anuradhapura,8/29/2010,2.5
Anuradhapura,8/30/2010,5.3
Anuradhapura,8/31/2010,0.0
Anuradhapura,9/1/2010,0.0
Anuradhapura,9/2/2010,0.3
Anuradhapura,9/3/2010,0.0
Anuradhapura,9/4/2010,0.0
Anuradhapura,9/5/2010,0.0
Anuradhapura,9/6/2010,0.0
Anuradhapura,9/7/2010,0.2
Anuradhapura,9/8/2010,0.9
Anuradhapura,9/9/2010,1.1
Anuradhapura,9/10/2010,2.1
Anuradhapura,9/11/2010,6.5
Anuradhapura,9/12/2010,7.3
Anuradhapura,9/13/2010,1.8
Anuradhapura,9/14/2010,2.3
Anuradhapura,9/15/2010,1.3
Anuradhapura,9/16/2010,0.3
Anuradhapura,9/17/2010,0.6
Anuradhapura,9/18/2010,1.4
Anuradhapura,9/19/2010,0.9
Anuradhapura,9/20/2010,15.5
Anuradhapura,9/21/2010,5.8
Anuradhapura,9/22/2010,8.6
Anuradhapura,9/23/2010,6.0
Anuradhapura,9/24/2010,2.0
Anuradhapura,9/25/2010,1.4
Anuradhapura,9/26/2010,10.0
Anuradhapura,9/27/2010,13.3
Anuradhapura,9/28/2010,24.8
Anuradhapura,9/29/2010,2.9
Anuradhapura,9/30/2010,11.6
Anuradhapura,10/1/2010,19.1
Anuradhapura,10/2/2010,23.8
Anuradhapura,10/3/2010,11.2
Anuradhapura,10/4/2010,0.7
Anuradhapura,10/5/2010,3.3
Anuradhapura,10/6/2010,5.5
Anuradhapura,10/7/2010,1.9
Anuradhapura,10/8/2010,1.6
Anuradhapura,10/9/2010,2.3
Anuradhapura,10/10/2010,0.8
Anuradhapura,10/11/2010,0.0
Anuradhapura,10/12/2010,0.4
Anuradhapura,10/13/2010,0.0
Anuradhapura,10/14/2010,0.0
Anuradhapura,10/15/2010,0.0
Anuradhapura,10/16/2010,0.2
Anuradhapura,10/17/2010,0.5
Anuradhapura,10/18/2010,0.9
Anuradhapura,10/19/2010,3.4
Anuradhapura,10/20/2010,1.2
Anuradhapura,10/21/2010,0.9
Anuradhapura,10/22/2010,0.1
Anuradhapura,10/23/2010,0.0
Anuradhapura,10/24/2010,0.2
Anuradhapura,10/25/2010,0.3
Anuradhapura,10/26/2010,0.6
Anuradhapura,10/27/2010,3.6
Anuradhapura,10/28/2010,20.6
Anuradhapura,10/29/2010,26.6
Anuradhapura,10/30/2010,11.5
Anuradhapura,10/31/2010,13.6
Anuradhapura,11/1/2010,3.4
Anuradhapura,11/2/2010,0.0
Anuradhapura,11/3/2010,1.0
Anuradhapura,11/4/2010,13.5
Anuradhapura,11/5/2010,14.5
Anuradhapura,11/6/2010,14.7
Anuradhapura,11/7/2010,3.2
Anuradhapura,11/8/2010,1.4
